zona,departamento,provincia,distrito,2018,2019,2020,2021,subzona
VRAEM,junin,satipo,coviriali,-,-,-,5,norte
VRAEM,junin,satipo,llaylla,15,15,20,14,norte
VRAEM,junin,satipo,mazamari,111,108,75,75,norte
VRAEM,junin,satipo,pangoa,400,502,542,439,norte
VRAEM,junin,satipo,rio tambo,1140,1233,1295,2583,norte
VRAEM,junin,satipo,vizcatan del ene,2305,2596,2950,3585,norte
VRAEM,ayacucho,la mar,ayna,469,699,796,736,centro
VRAEM,ayacucho,huanta,canayre,1210,1375,1649,1903,centro
VRAEM,cusco,la convencion,kimbiri,2572,2492,2270,1356,centro
VRAEM,cusco,la convencion,cielo punco,-,-,-,558,centro
VRAEM,cusco,la convencion,manitea,-,-,-,911,centro
VRAEM,ayacucho,huanta,llochegua,3638,4029,4136,4626,centro
VRAEM,cusco,la convencion,pichari,2932,2968,2614,1453,centro
VRAEM,cusco,la convencion,union ashaninka,-,-,-,1983,centro
VRAEM,ayacucho,la mar,samugari,2235,2419,2870,2328,centro
VRAEM,ayacucho,la mar,rio magdalena,-,-,-,638,centro
VRAEM,ayacucho,la mar,santa rosa,2894,3271,3576,3092,centro
VRAEM,ayacucho,huanta,sivia,1920,2373,2670,3010,centro
VRAEM,ayacucho,la mar,anchihuay,387,323,434,414,sur
VRAEM,ayacucho,la mar,anco,1416,1225,1523,1219,sur
VRAEM,ayacucho,la mar,union progreso,-,-,-,442,sur
VRAEM,ayacucho,la mar,chungui,135,95,132,182,sur
VRAEM,cusco,la convencion,villa kintiarina,271,248,335,397,sur
VRAEM,cusco,la convencion,villa virgen,51,53,106,158,sur
Inambari-Tambopata,puno,sandia,San Pedro de Putina Punco,3789,3983,5560,7394,
Inambari-Tambopata,puno,sandia,Alto Inambari,1609,1674,1672,1778,
Inambari-Tambopata,puno,sandia,San juan del Oro,212,202,295,361,
Inambari-Tambopata,puno,sandia,Yanahuaya,112,101,148,168,
Inambari-Tambopata,puno,sandia,Phara,16,20,20,24,
Inambari-Tambopata,puno,sandia,Sandia,7,7,9,5,
Bajo Amazonas,loreto,mariscal ramon castilla,Ramon Castilla,1365,1200,2401,3087,
Bajo Amazonas,loreto,mariscal ramon castilla,Pebas,426,452,528,1371,
Bajo Amazonas,loreto,mariscal ramon castilla,San Pablo,864,602,763,1164,
Bajo Amazonas,loreto,mariscal ramon castilla,Yavari,284,277,555,108,
Bajo Amazonas,loreto,Maynas,Las Amazonas,77,71,70,108,
Bajo Amazonas,loreto,Maynas,Indiana,2,2,1,2,
Callería,ucayali,coronel portillo,Callería,991,847,2359,3633,
Callería,ucayali,coronel portillo,Masisea,56,11,94,2371,
La Convención - Lares,Cusco,Calca,Yanatile,2055,2294,1345,1081,
La Convención - Lares,Cusco,La Convención,Santa Ana,1133,1111,1329,669,
La Convención - Lares,Cusco,La Convención,Echarate,2061,1738,1341,751,
La Convención - Lares,Cusco,La Convención,Huayopata,325,282,318,187,
La Convención - Lares,Cusco,La Convención,Maranura,704,696,713,475,
La Convención - Lares,Cusco,La Convención,Ocobamba,580,521,480,394,
La Convención - Lares,Cusco,La Convención,Quellouno,1463,1303,1045,793,
La Convención - Lares,Cusco,La Convención,Santa Teresa,602,523,477,374,
La Convención - Lares,Cusco,La Convención,Vilcabamba,84,75,49,40,
La Convención - Lares,Cusco,La Convención,Kumpirushiato,-,-,-,77,
Pichis - Palcazu - Pachitea,Huánuco,Puerto Inca,Puerto Inca,203,104,218,372,
Pichis - Palcazu - Pachitea,Huánuco,Puerto Inca,Codo del Pozuzo,56,105,253,907,
Pichis - Palcazu - Pachitea,Huánuco,Puerto Inca,Honoria,8,8,8,52,
Pichis - Palcazu - Pachitea,Huánuco,Puerto Inca,Tournavista,15,16,28,45,
Pichis - Palcazu - Pachitea,Huánuco,Puerto Inca,Yuyapichis,255,366,533,877,
Pichis - Palcazu - Pachitea,Pasco,Oxapampa,Palcazu,75,105,216,338,
Pichis - Palcazu - Pachitea,Pasco,Oxapampa,Puerto Bermudez,158,213,333,600,
Pichis - Palcazu - Pachitea,Pasco,Oxapampa,Constitución,147,396,604,897,
Pichis - Palcazu - Pachitea,Ucayali,Coronel Portillo,Iparia,1,1,10,8,
Aguaytía,Loreto,Ucayali,Contamana,-,-,-,86,
Aguaytía,Loreto,Ucayali,Padre Marquez,-,-,-,0.5,
Aguaytía,Ucayali,Coronel Portillo,Campoverde,-,-,-,9,
Aguaytía,Ucayali,Coronel Portillo,Nueva Requena,-,5,38,198,
Aguaytía,Ucayali,Padre Abad,Padre Abad,842,527,778,1023,
Aguaytía,Ucayali,Padre Abad,Irazola,559,249,264,380,
Aguaytía,Ucayali,Padre Abad,Curimana,75,72,264,493,
Aguaytía,Ucayali,Padre Abad,NEshuya,41,24,15,9,
